lemma,left,right,log_ratio,abs_log_ratio
🗼,2,46,-3.969626351,3.969626351
lola,14,232,-3.957295549,3.957295549
zerbi,30,1,3.95419631,3.95419631
kanaky,30,1,3.95419631,3.95419631
égorger,9,153,-3.944858446,3.944858446
tvl,4,76,-3.944858446,3.944858446
🛫,3,60,-3.930737338,3.930737338
cup,29,1,3.906890596,3.906890596
ptdrr,58,3,3.882643049,3.882643049
ebony,58,3,3.882643049,3.882643049
💜,161,10,3.880418384,3.880418384
ms,43,2,3.874469118,3.874469118
udr,2,43,-3.874469118,3.874469118
poudré,1,28,-3.857980995,3.857980995
tds,28,1,3.857980995,3.857980995
peno,28,1,3.857980995,3.857980995
ori,28,1,3.857980995,3.857980995
rmcliv,28,1,3.857980995,3.857980995
🔪,2,42,-3.841302254,3.841302254
artsakh,27,1,3.807354922,3.807354922
handi,27,1,3.807354922,3.807354922
kasbarian,27,1,3.807354922,3.807354922
autrice,69,4,3.807354922,3.807354922
yadan,27,1,3.807354922,3.807354922
bock,1,27,-3.807354922,3.807354922
opulence,1,27,-3.807354922,3.807354922
🐥,27,1,3.807354922,3.807354922
nouveaufrontpopulair,206,14,3.786596362,3.786596362
🟢,54,3,3.781359714,3.781359714
jte,40,2,3.772589504,3.772589504
🚚,40,2,3.772589504,3.772589504
nba,40,2,3.772589504,3.772589504
islamiser,8,121,-3.760812336,3.760812336
⛪,1,26,-3.754887502,3.754887502
asse,53,3,3.754887502,3.754887502
globaliste,1,26,-3.754887502,3.754887502
informationnel,26,1,3.754887502,3.754887502
polqc,1,26,-3.754887502,3.754887502
fouché,1,26,-3.754887502,3.754887502
watson,53,3,3.754887502,3.754887502
✝,26,363,-3.752907138,3.752907138
mazan,52,3,3.727920455,3.727920455
gauchiasse,25,341,-3.717412797,3.717412797
vini,25,1,3.700439718,3.700439718
sign,25,1,3.700439718,3.700439718
plandémie,1,25,-3.700439718,3.700439718
polcan,1,25,-3.700439718,3.700439718
dembele,25,1,3.700439718,3.700439718
sainté,25,1,3.700439718,3.700439718
schwab,3,51,-3.700439718,3.700439718
frexit,28,372,-3.685050825,3.685050825
wsh,37,2,3.662965013,3.662965013
pcq,214,16,3.660730008,3.660730008
💉,6,87,-3.652076697,3.652076697
litige,49,3,3.64385619,3.64385619
christianophobie,3,49,-3.64385619,3.64385619
pélicot,24,1,3.64385619,3.64385619
zik,24,1,3.64385619,3.64385619
barbaresque,1,24,-3.64385619,3.64385619
playlist,61,4,3.632268215,3.632268215
soudai,3,48,-3.614709844,3.614709844
forceouvriere,60,4,3.608809243,3.608809243
charia,21,266,-3.601264313,3.601264313
guinée,96,7,3.599912842,3.599912842
🏿,193,15,3.599912842,3.599912842
rom,8,108,-3.598259323,3.598259323
islamisation,11,144,-3.594946589,3.594946589
benzema,23,1,3.584962501,3.584962501
sowell,1,23,-3.584962501,3.584962501
gauchiass,4,59,-3.584962501,3.584962501
muzz,3,46,-3.554588852,3.554588852
foutriquet,5,69,-3.544320516,3.544320516
nasdas,22,1,3.523561956,3.523561956
cuck,1,22,-3.523561956,3.523561956
stadium,22,1,3.523561956,3.523561956
balanche,1,22,-3.523561956,3.523561956
oe,22,1,3.523561956,3.523561956
rabiot,33,2,3.502500341,3.502500341
gauchisme,14,167,-3.485426827,3.485426827
rassemblementnational,4,55,-3.485426827,3.485426827
mile,55,4,3.485426827,3.485426827
soro,10,122,-3.483082887,3.483082887
darpa,1,21,-3.459431619,3.459431619
geographic,21,1,3.459431619,3.459431619
dazn,54,4,3.459431619,3.459431619
asseol,32,2,3.459431619,3.459431619
transphob,32,2,3.459431619,3.459431619
sephora,1,21,-3.459431619,3.459431619
traorer,2,32,-3.459431619,3.459431619
escroland,1,21,-3.459431619,3.459431619
droitisation,21,1,3.459431619,3.459431619
wokistan,1,21,-3.459431619,3.459431619
pck,21,1,3.459431619,3.459431619
consœur,21,1,3.459431619,3.459431619
babouche,5,64,-3.437405312,3.437405312
mahomet,3,42,-3.426264755,3.426264755
allogène,3,42,-3.426264755,3.426264755
nouveaufrontpopulaire,63,5,3.415037499,3.415037499
🎺,31,2,3.415037499,3.415037499
dal,31,2,3.415037499,3.415037499
réclamation,52,4,3.40599236,3.40599236
jsuis,105,9,3.40599236,3.40599236
take,52,4,3.40599236,3.40599236
européiste,8,94,-3.399930607,3.399930607
mood,20,1,3.392317423,3.392317423
rhaine,20,1,3.392317423,3.392317423
maud,20,1,3.392317423,3.392317423
vendredilectur,20,1,3.392317423,3.392317423
🚁,20,1,3.392317423,3.392317423
weil,1,20,-3.392317423,3.392317423
genocidair,41,3,3.392317423,3.392317423
atletico,20,1,3.392317423,3.392317423
🔆,1,20,-3.392317423,3.392317423
occitani,41,3,3.392317423,3.392317423
barca,51,4,3.378511623,3.378511623
celleux,30,2,3.36923381,3.36923381
ronde,8,92,-3.36923381,3.36923381
briochin,30,2,3.36923381,3.36923381
rivotril,2,30,-3.36923381,3.36923381
riot,30,2,3.36923381,3.36923381
mondialiste,36,380,-3.364193822,3.364193822
rafah,40,3,3.357552005,3.357552005
traoré,4,50,-3.350497247,3.350497247
lorient,182,17,3.345774837,3.345774837
unitaire,39,3,3.321928095,3.321928095
tw,19,1,3.321928095,3.321928095
technocratique,4,49,-3.321928095,3.321928095
caler,29,2,3.321928095,3.321928095
nabe,19,1,3.321928095,3.321928095
antichrétien,1,19,-3.321928095,3.321928095
emoji,19,1,3.321928095,3.321928095
reuf,39,3,3.321928095,3.321928095
alberta,1,19,-3.321928095,3.321928095
jpeux,19,1,3.321928095,3.321928095
divulgation,1,19,-3.321928095,3.321928095
incontrôlé,4,49,-3.321928095,3.321928095
outfit,19,1,3.321928095,3.321928095
philippin,10,108,-3.308752706,3.308752706
gauchiste,142,1403,-3.295455884,3.295455884
pègre,48,4,3.292781749,3.292781749
escrologie,4,48,-3.292781749,3.292781749
infographie,38,3,3.285402219,3.285402219
adele,2,28,-3.273018494,3.273018494
repentance,2,28,-3.273018494,3.273018494
🕌,2,28,-3.273018494,3.273018494
